sys_temp,resp,server_time,receiver,receiver_time,DC,PC,LV,BV,BU,I,T,DU,RU,X,Y,Z,cpu_temp,cpu_time
2024-08-19 09:30:04 temp=45.2'C,"*450281.0#20[0009],OK,#9A450281,412,2024-08-19 09:29:54,STS,DC=51,PC=7487,LV=0.0,BV=3.6,BU=10.1,I=2.4,T=27.0,DU=0.0,RU=0.3,XYZ=0.06:-0.16:-0.84,#BB>|",2024-08-19T09:30:05.633632Z,450281,2024-08-19T09:29:54Z,51,7487,0,3.6,10.1,2.4,27,0,0.3,0.06,-0.16,-0.84,45.2,2024-08-19T09:30:04Z
2024-08-19 09:45:03 temp=45.2'C,"*450281.0#20[0009],OK,#9A450281,413,2024-08-19 09:44:53,STS,DC=51,PC=7487,LV=0.2,BV=3.6,BU=10.1,I=2.3,T=27.0,DU=0.0,RU=0.3,XYZ=0.06:-0.16:-0.84,#B9>|",2024-08-19T09:45:05.350522Z,450281,2024-08-19T09:44:53Z,51,7487,0.2,3.6,10.1,2.3,27,0,0.3,0.06,-0.16,-0.84,45.2,2024-08-19T09:45:03Z
2024-08-19 10:00:03 temp=44.3'C,"*450281.0#20[0009],OK,#9A450281,414,2024-08-19 09:59:53,STS,DC=51,PC=7490,LV=0.2,BV=3.6,BU=10.1,I=2.3,T=27.0,DU=0.0,RU=0.3,XYZ=0.06:-0.16:-0.84,#BA>|",2024-08-19T10:00:05.168910Z,450281,2024-08-19T09:59:53Z,51,7490,0.2,3.6,10.1,2.3,27,0,0.3,0.06,-0.16,-0.84,44.3,2024-08-19T10:00:03Z
2024-08-19 10:15:03 temp=44.8'C,"*450281.0#20[0009],OK,#9A450281,415,2024-08-19 10:14:53,STS,DC=51,PC=7492,LV=0.2,BV=3.6,BU=10.1,I=2.3,T=26.9,DU=0.0,RU=0.3,XYZ=0.06:-0.16:-0.84,#B4>|",2024-08-19T10:15:05.009473Z,450281,2024-08-19T10:14:53Z,51,7492,0.2,3.6,10.1,2.3,26.9,0,0.3,0.06,-0.16,-0.84,44.8,2024-08-19T10:15:03Z
2024-08-19 10:30:03 temp=43.8'C,"*450281.0#20[0009],OK,#9A450281,416,2024-08-19 10:29:53,STS,DC=51,PC=7498,LV=0.2,BV=3.6,BU=10.1,I=2.4,T=26.8,DU=0.0,RU=0.3,XYZ=0.06:-0.16:-0.84,#C1>|",2024-08-19T10:30:04.845604Z,450281,2024-08-19T10:29:53Z,51,7498,0.2,3.6,10.1,2.4,26.8,0,0.3,0.06,-0.16,-0.84,43.8,2024-08-19T10:30:03Z
2024-08-19 10:45:04 temp=44.3'C,"*450281.0#20[0009],OK,#9A450281,417,2024-08-19 10:44:54,STS,DC=51,PC=7498,LV=0.2,BV=3.6,BU=10.1,I=2.3,T=26.8,DU=0.0,RU=0.3,XYZ=0.06:-0.16:-0.84,#BF>|",2024-08-19T10:45:05.612334Z,450281,2024-08-19T10:44:54Z,51,7498,0.2,3.6,10.1,2.3,26.8,0,0.3,0.06,-0.16,-0.84,44.3,2024-08-19T10:45:04Z
2024-08-19 11:00:03 temp=43.8'C,"*450281.0#20[0009],OK,#9A450281,418,2024-08-19 10:59:53,STS,DC=51,PC=7501,LV=0.2,BV=3.6,BU=10.1,I=2.3,T=26.8,DU=0.0,RU=0.4,XYZ=0.03:-0.16:-0.84,#B4>|",2024-08-19T11:00:05.341898Z,450281,2024-08-19T10:59:53Z,51,7501,0.2,3.6,10.1,2.3,26.8,0,0.4,0.03,-0.16,-0.84,43.8,2024-08-19T11:00:03Z
2024-08-19 11:15:03 temp=44.8'C,"*450281.0#20[0009],OK,#9A450281,419,2024-08-19 11:14:53,STS,DC=51,PC=7506,LV=0.2,BV=3.6,BU=10.1,I=2.4,T=26.8,DU=0.0,RU=0.4,XYZ=0.06:-0.16:-0.84,#B6>|",2024-08-19T11:15:05.061027Z,450281,2024-08-19T11:14:53Z,51,7506,0.2,3.6,10.1,2.4,26.8,0,0.4,0.06,-0.16,-0.84,44.8,2024-08-19T11:15:03Z
2024-08-19 11:30:03 temp=43.8'C,"*450281.0#20[0009],OK,#9A450281,420,2024-08-19 11:29:53,STS,DC=51,PC=7510,LV=0.2,BV=3.6,BU=10.1,I=2.4,T=26.7,DU=0.0,RU=0.4,XYZ=0.06:-0.16:-0.84,#AE>|",2024-08-19T11:30:04.809533Z,450281,2024-08-19T11:29:53Z,51,7510,0.2,3.6,10.1,2.4,26.7,0,0.4,0.06,-0.16,-0.84,43.8,2024-08-19T11:30:03Z
2024-08-19 11:45:04 temp=43.8'C,"*450281.0#20[0009],OK,#9A450281,421,2024-08-19 11:44:53,STS,DC=51,PC=7513,LV=0.2,BV=3.6,BU=10.1,I=2.3,T=26.7,DU=0.0,RU=0.4,XYZ=0.06:-0.16:-0.84,#AE>|",2024-08-19T11:45:05.583086Z,450281,2024-08-19T11:44:53Z,51,7513,0.2,3.6,10.1,2.3,26.7,0,0.4,0.06,-0.16,-0.84,43.8,2024-08-19T11:45:04Z
